Dataset Name,DOAO PR-Curve,DOAO STD,AdaBoost PR-Curve,AdaBoost STD
plant-texture.csv,0.996,0.001,0.966,0.003
parkinsons.csv,0.997,0.004,0.973,0.025
autos.csv,0.942,0.035,0.953,0.034
wall-following.csv,0.995,0.002,0.994,0.009
hepatitis.csv,0.95,0.044,0.935,0.041
mfeat-morphological.csv,0.988,0.016,0.988,0.025
rabe_131.csv,0.96,0.086,0.983,0.053
oocytes_merluccius_nucleus_4d.csv,0.954,0.023,0.909,0.032
energy-y2.csv,0.975,0.019,0.981,0.015
yeast.csv,0.851,0.048,0.825,0.06
cylinder-bands.csv,0.857,0.05,0.83,0.076
analcatdata_asbestos.csv,0.832,0.195,0.781,0.268
steel-plates.csv,0.98,0.01,0.976,0.014
fri_c0_250_5.csv,0.95,0.057,0.866,0.11
cardiotocography-10clases.csv,0.985,0.006,0.982,0.005
soybean.csv,0.996,0.003,0.994,0.004
disclosure_z.csv,0.588,0.095,0.588,0.072
echocardiogram.csv,0.812,0.128,0.793,0.205
car.csv,0.997,0.006,0.942,0.042
mushroom.csv,1.0,0.0,0.998,0.006
mfeat-karhunen.csv,0.998,0.002,0.986,0.008
bodyfat.csv,0.997,0.009,0.996,0.014
spectf.csv,0.912,0.072,0.94,0.044
